"Category","Installation & Developers","Manufacturing","Sales & Distribution","Operations & Maintenance","Other"
2010,43934,24916,11744,,21908
2011,48656,37941,30000,,5548
2012,65165,29742,16005,,8105
2013,81827,29851,19771,,11248
2014,112143,32490,20185,,8989
2015,142383,30282,24377,,11816
2016,171533,38121,32147,,18274
2017,165174,36885,30912,,17300
2018,155157,33726,29243,11164,13053
2019,161454,34243,29213,11218,11906
2020,154610,31050,25663,10077,10073
2021,168960,33099,28978,12530,11471
2022,171558,33473,30618,16585,11648
